owner,repo_name,owner_type,fork,homepage,size,stars_cnt,language,forks_count,topics,created_at
EasyJailbreak,EasyJailbreak,Organization,False,http://easyjailbreak.org/,8893.0,626.0,Python,54.0,"['discrete-optimization', 'jailbreak', 'jailbreak-framework', 'large-language-model', 'llm-safety-benchmark', 'llm-security']",2024-01-31T09:04:31Z
neosr-project,neosr,User,False,https://github.com/neosr-project/neosr,5894.0,247.0,Python,38.0,"['image-restoration', 'machine-learning', 'super-resolution']",2023-07-22T02:51:00Z
fuzz4all,fuzz4all,Organization,False,https://fuzz4all.github.io/,10319.0,243.0,Python,39.0,"['fuzzing', 'large-language-models', 'llm', 'program-synthesis', 'testing']",2024-01-30T21:10:54Z
large-ocr-model,large-ocr-model.github.io,User,False,,47939.0,173.0,Python,6.0,[],2024-01-02T06:22:34Z
AdityaNG,kan-gpt,User,False,https://adityang.github.io/kan-gpt/,3200.0,713.0,Python,55.0,"['gpt', 'kanformers', 'kolmogorov-arnold-networks', 'kolmogorov-arnold-representation', 'llm', 'text-generation', 'transformers']",2024-05-02T15:41:42Z
thu-coai,CharacterGLM-6B,Organization,False,,8765.0,459.0,Python,36.0,[],2023-09-20T10:50:54Z
Blealtan,efficient-kan,User,False,,32.0,4310.0,Python,388.0,[],2024-05-02T14:19:28Z
ZFTurbo,segmentation_models_3D,User,False,,68.0,129.0,Python,27.0,"['3d-segmentation', '3d-semantic-segmentation', 'keras', 'segmentation']",2020-07-31T15:50:59Z
KimMeen,Time-LLM,User,False,https://arxiv.org/abs/2310.01728,1113.0,1958.0,Python,337.0,"['cross-modal-learning', 'cross-modality', 'deep-learning', 'language-model', 'large-language-models', 'machine-learning', 'multimodal-deep-learning', 'multimodal-time-series', 'prompt-tuning', 'time-series', 'time-series-analysis', 'time-series-forecast', 'time-series-forecasting']",2024-01-20T01:26:30Z
brain-score,vision,Organization,False,http://brain-score.org,785030.0,142.0,Jupyter Notebook,83.0,[],2017-10-03T20:53:48Z
paulengstler,invisible-stitch,User,False,https://research.paulengstler.com/invisible-stitch/,52108.0,176.0,Python,11.0,[],2024-04-24T10:00:36Z
runpod,runpodctl,Organization,False,https://www.runpod.io/,5934.0,298.0,Go,39.0,"['command-line', 'docker', 'file-transfer', 'runpod']",2022-04-03T22:05:12Z
ForMyCat,SparseGS,User,False,,90095.0,167.0,Python,19.0,[],2024-05-02T08:31:42Z
riiswa,kanrl,User,False,,3780.0,279.0,Python,33.0,[],2024-05-02T07:27:25Z
MadryLab,context-cite,Organization,False,https://gradientscience.org/contextcite/,3787.0,228.0,Jupyter Notebook,18.0,"['attribution', 'huggingface', 'llm', 'pytorch']",2024-04-30T03:36:27Z
oneal2000,PRAG,User,False,,43991.0,154.0,Python,14.0,[],2025-01-12T08:37:55Z
GoodAI,charlie-mnemonic,Organization,False,https://www.goodai.com/introducing-charlie-mnemonic/,3368.0,192.0,Python,28.0,[],2024-01-08T13:41:56Z
ZubinGou,math-evaluation-harness,User,False,,6131.0,203.0,Python,14.0,[],2024-01-30T08:02:03Z
ymcui,Chinese-Mixtral,User,False,https://arxiv.org/abs/2403.01851,531.0,604.0,Python,44.0,"['32k', '64k', 'large-language-models', 'llm', 'mixtral', 'mixture-of-experts', 'moe', 'nlp']",2024-01-11T06:45:43Z
wzzheng,GenAD,User,False,,69836.0,392.0,Python,44.0,[],2024-02-20T07:55:47Z
NexaAI,octopus-v4,Organization,False,https://www.nexa4ai.com/,97.0,263.0,Python,22.0,"['distributed-computing', 'graph', 'large-language-models']",2024-04-30T04:52:15Z
daxa-ai,pebblo,Organization,False,https://daxa.ai/pebblo,8207.0,141.0,Python,47.0,"['data-governance', 'entity-classification', 'gen-ai', 'llm', 'rag', 'topic-classification']",2024-01-15T06:13:03Z
prometheus-eval,prometheus-eval,Organization,False,,15778.0,911.0,Python,55.0,"['evaluation', 'gpt4', 'litellm', 'llm', 'llm-as-a-judge', 'llm-as-evaluator', 'llmops', 'python', 'vllm']",2024-04-18T17:19:09Z
ZFTurbo,classification_models_3D,User,False,,135.0,170.0,Python,28.0,"['3d-classification', 'deep-learning', 'image-classification', 'keras']",2020-07-17T09:17:59Z
ToTheBeginning,PuLID,User,False,,4166.0,3284.0,Python,242.0,[],2024-04-17T04:04:57Z
KarelDO,xmc.dspy,User,False,,47639.0,422.0,Python,26.0,"['information-extraction', 'prompt-engineering', 'retrieval', 'retrieval-augmented-generation']",2024-01-22T17:04:36Z
yihong1120,Construction-Hazard-Detection,User,False,https://changdar-server.mooo.com/camera.html?label=Kaohsiung&key=test,50959.0,283.0,Python,26.0,"['alert-system', 'apis', 'artificial-intelligence', 'clustering', 'computer-vision', 'construction', 'data-annotation', 'deep-learning', 'fastapi', 'hazard-detection', 'hdbscan', 'image-processing', 'machine-learning', 'nginx', 'object-detection', 'post-processing', 'real-time-detection', 'restful-api', 'yolo11']",2024-01-02T14:58:37Z
sinanuozdemir,oreilly-hands-on-gpt-llm,User,False,https://learning.oreilly.com/live-events/deploying-gpt-large-language-models-llms/0642572012963,34763.0,134.0,Jupyter Notebook,91.0,"['deepseek', 'distillation', 'docker', 'gguf', 'gpt', 'groq', 'k8s', 'llamacpp', 'llm', 'mlops', 'quantization']",2023-01-10T15:24:04Z
Dai-Wenxun,MotionLCM,User,False,,6628.0,346.0,Python,15.0,[],2024-04-06T17:07:34Z
tembo-io,pg_vectorize,Organization,False,https://tembo.io/pg_vectorize/,1320.0,774.0,Rust,35.0,"['ai', 'rag', 'vectordb']",2023-07-24T19:26:09Z
segmind,segmoe,Organization,False,,1234.0,427.0,Python,27.0,[],2024-01-21T07:49:33Z
PKU-YuanGroup,MoE-LLaVA,Organization,False,https://arxiv.org/abs/2401.15947,17277.0,2149.0,Python,134.0,"['large-vision-language-model', 'mixture-of-experts', 'moe', 'multi-modal']",2023-12-14T02:59:50Z
facebookresearch,audioseal,Organization,False,,58798.0,546.0,Python,66.0,[],2024-01-26T10:29:40Z
facebookresearch,r3m,Organization,False,https://sites.google.com/view/robot-r3m/,41.0,319.0,Python,53.0,[],2021-09-01T02:53:25Z
ykhli,AI-RPi-detection,User,False,https://ai-cat-detection.yoko.dev/introduction,13577.0,180.0,Python,15.0,"['ai', 'cats', 'llm', 'raspberry-pi']",2024-02-26T05:56:37Z
HowieMa,DeepSORT_YOLOv5_Pytorch,User,False,,58106.0,374.0,Python,67.0,"['deepsort', 'multi-object-tracking', 'pytorch', 'simple-online-and-realtime-tracking', 'yolov5', 'yolov5-deepsort-pytorch']",2020-08-15T21:33:13Z
mistralai,mistral-inference,Organization,False,https://mistral.ai/,563.0,10187.0,Jupyter Notebook,906.0,"['llm', 'llm-inference', 'mistralai']",2023-09-27T13:05:24Z
codefuse-ai,codefuse-chatbot,Organization,False,,27625.0,1169.0,Python,122.0,"['aiops', 'chatbot', 'code-repo-analysis', 'code-repo-generation', 'devops', 'gpt', 'knowledge-graph', 'langchain', 'multi-agent', 'rag', 'tool-learning']",2023-09-28T01:06:40Z
ai-winter,python_motion_planning,User,False,https://ai-winter.github.io/python_motion_planning/,18418.0,693.0,Python,93.0,"['a-star', 'artificial-potential-field', 'autonomous-vehicles', 'bezier-curve', 'd-star', 'd-star-lite', 'dijkstra', 'dubins-curve', 'informed-rrt-star', 'jump-point-search', 'model-predictive-control', 'motion-planning', 'path-planning', 'path-tracking', 'rrt', 'rrt-connect', 'rrt-star', 'theta-star', 'trajectory-planning', 'voronoi']",2023-02-07T03:25:58Z
open-experiments,Telco-AIX,Organization,False,,666980.0,138.0,Jupyter Notebook,42.0,[],2024-04-25T18:22:06Z
ML-GSAI,MicroDreamer,Organization,False,,17276.0,120.0,Python,6.0,[],2024-04-30T15:50:48Z
CaraJ7,CoMat,User,False,https://caraj7.github.io/comat/,8043.0,156.0,Python,7.0,[],2024-04-04T01:49:00Z
rasbt,pycon2024,User,False,,3268.0,244.0,Jupyter Notebook,52.0,[],2024-02-28T22:44:59Z
Auto1111SDK,Auto1111SDK,Organization,False,,11088.0,410.0,Python,30.0,"['ai', 'ai-art', 'api', 'automatic1111', 'deep-learning', 'diffusers', 'diffusion', 'image-generation', 'image-to-image', 'img2img', 'python', 'pytorch', 'stable-diffusion', 'stable-diffusion-webui', 'text-to-image', 'torch', 'txt2img', 'unstable', 'upscaling', 'web']",2024-01-28T09:20:30Z
henry123-boy,SpaTracker,User,False,,68692.0,835.0,Python,33.0,[],2024-04-01T11:30:37Z
Veason-silverbullet,ViTLP,User,False,,53294.0,143.0,Python,5.0,[],2024-03-26T06:45:23Z
Fanghua-Yu,SUPIR,User,False,http://supir.xpixel.group/,10718.0,5010.0,Python,427.0,"['deep-learning', 'diffusion-models', 'llava', 'pytorch', 'pytorch-lightning', 'restoration', 'sdxl', 'stable-diffusion', 'super-resolution']",2023-12-21T11:23:35Z
duckdb,duckdb,Organization,False,http://www.duckdb.org,340496.0,28576.0,C++,2235.0,"['analytics', 'database', 'embedded-database', 'olap', 'sql']",2018-06-26T15:04:45Z
yuvraj108c,ComfyUI-Whisper,User,False,,1646.0,100.0,Python,18.0,"['comfyui', 'stable-diffusion', 'whisper-ai']",2024-01-24T07:03:58Z
yzGuu830,efficient-speech-codec,User,False,,35132.0,118.0,Jupyter Notebook,4.0,"['audio-compression', 'deep-learning', 'neural-speech-coding', 'pytorch', 'transformers', 'vector-quantization']",2024-01-09T22:52:54Z
NousResearch,finetuning-subnet,Organization,False,,142.0,115.0,Python,33.0,[],2024-01-10T15:17:39Z
wxywb,history_rag,User,False,,55869.0,999.0,Python,133.0,[],2023-12-29T07:32:51Z
YangXuanyi,Multi-Agent-GPT,User,False,,10979.0,224.0,Python,8.0,[],2024-01-22T00:41:41Z
MzeroMiko,VMamba,User,False,,35768.0,2549.0,Python,175.0,[],2024-01-11T10:42:25Z
alisawuffles,proxy-tuning,User,False,,105615.0,109.0,Python,16.0,[],2024-01-25T07:52:35Z
patched-codes,patchwork,Organization,False,https://patched.codes,6088.0,1334.0,Python,88.0,"['automation', 'codereview', 'devops', 'devtools', 'hacktoberfest', 'llms', 'workflows']",2024-04-05T14:07:29Z
ymcui,Chinese-LLaMA-Alpaca-3,User,False,,2355.0,1909.0,Python,168.0,"['alpaca', 'large-language-models', 'llama', 'llama-2', 'llama-3', 'llama3', 'llm', 'nlp']",2023-11-09T08:11:19Z
TimSong412,2D-surfel-gaussian,User,False,,37563.0,177.0,Python,7.0,[],2024-04-01T01:03:01Z
brucepro,Memoir,User,False,,430.0,197.0,Python,23.0,[],2024-01-26T19:32:05Z
facebookresearch,open-eqa,Organization,False,,10439.0,272.0,Jupyter Notebook,25.0,[],2024-04-11T06:42:03Z
TemryL,ComfyUI-IDM-VTON,User,False,,5591.0,496.0,Python,53.0,"['comfy', 'comfyui', 'comfyui-nodes', 'inpainting', 'stable-diffusion', 'virtual-try-on', 'virtual-tryon']",2024-04-27T17:45:43Z
TonyLianLong,CrossMAE,User,False,https://crossmae.github.io/,1571.0,107.0,Python,6.0,"['computer-vision', 'deep-learning', 'mae', 'masked-autoencoder', 'self-supervised-learning']",2024-01-23T22:34:59Z
bigcode-project,selfcodealign,Organization,False,https://arxiv.org/abs/2410.24198,260.0,304.0,Python,21.0,"['large-language-models', 'llm', 'llm4code']",2024-04-25T22:13:28Z
gokayfem,ComfyUI_VLM_nodes,User,False,,368.0,485.0,Python,48.0,"['comfyui', 'custom-nodes', 'image-captioning', 'img2sfx', 'img2text', 'joytag', 'llava', 'llm', 'mllm', 'nodes', 'phi15', 'siglip', 'vlm']",2024-01-24T17:18:35Z
redis,redis-vl-python,Organization,False,https://docs.redisvl.com,82286.0,281.0,Python,45.0,"['embedding', 'large-language-models', 'llm', 'llmcache', 'openai', 'python', 'redis', 'retrieval-augmented-generation', 'semantic-cache', 'vector-database', 'vector-search']",2022-11-04T19:36:02Z
cohere-ai,cohere-toolkit,Organization,False,,59156.0,3031.0,TypeScript,414.0,[],2024-04-19T09:59:08Z
alexeygrigorev,llm-rag-workshop,User,False,,414.0,189.0,Jupyter Notebook,62.0,[],2024-04-18T08:34:16Z
scott-yjyang,Vivim,User,False,,9747.0,169.0,Python,9.0,[],2024-01-24T11:59:07Z
kyegomez,MambaByte,User,False,https://discord.gg/Czg5rpMZaC,2270.0,116.0,Python,7.0,"['ai', 'artificial-intelligence', 'gpt4v', 'machine-learning', 'mamba', 'megabyte', 'ml', 'multi-modality', 'tokenizer']",2024-01-26T01:23:25Z
YuDeng,Portrait-4D,User,False,,8529.0,267.0,Python,12.0,[],2023-11-30T08:23:42Z
datawhalechina,tiny-universe,Organization,False,,10053.0,2742.0,Python,284.0,"['agent', 'diffusion', 'evaluation-metrics', 'llama', 'qwen', 'rag', 'transformers']",2024-04-06T13:55:07Z
fracdiff,fracdiff,Organization,False,https://fracdiff.github.io/fracdiff/,3802.0,311.0,Python,67.0,"['finance', 'python', 'pytorch', 'time-series']",2021-04-27T06:48:47Z
huwprosser,jarvis-mlx,User,False,,4682.0,115.0,Python,16.0,[],2024-04-28T14:24:32Z
tau-yihouxiang,X-Ray,User,False,,8684.0,108.0,Python,4.0,[],2024-04-29T08:58:35Z
CreamyLong,stable-diffusion,User,False,https://github.com/CompVis/stable-diffusion/tree/main,166742.0,107.0,Jupyter Notebook,14.0,[],2023-08-23T12:51:09Z
kyegomez,MORPHEUS-1,User,False,https://discord.gg/GYbXvDGevY,2371.0,131.0,Python,18.0,"['ai', 'artificial-intelligence', 'machine-learning', 'medical', 'ml', 'neural-networks']",2024-01-25T15:31:05Z
web-arena-x,visualwebarena,Organization,False,https://jykoh.com/vwa,195218.0,334.0,Python,57.0,"['agents', 'llm', 'multimodal']",2024-01-24T03:23:37Z
X-PLUG,mPLUG-DocOwl,Organization,False,,109773.0,2159.0,Python,128.0,"['chart-understanding', 'document-understanding', 'mllm', 'multimodal', 'multimodal-large-language-models', 'table-understanding']",2023-07-04T01:18:19Z
KindXiaoming,pykan,User,False,,116706.0,15603.0,Jupyter Notebook,1476.0,[],2024-04-27T21:25:35Z
hkust-zhiyao,RTL-Coder,User,False,,13906.0,182.0,Python,21.0,[],2023-11-20T13:01:13Z
ogkalu2,comic-translate,User,False,,17456.0,1537.0,Python,141.0,"['anime', 'comics', 'computer-vision', 'deep-learning', 'gui', 'inpainting', 'machine-translation', 'manga', 'manhua', 'manhwa', 'neural-network', 'ocr', 'pyside6', 'python', 'pytorch', 'segmentation', 'text-detection', 'text-segmentation', 'translation', 'webtoons']",2024-01-25T08:45:17Z
Mohamedelrefaie,DrivAerNet,User,False,,1037.0,298.0,Python,46.0,"['3d-geometry', 'aerodynamics', 'car-design', 'cfd', 'computational-fluid-dynamics', 'data-driven', 'deep-learning', 'deep-neural-networks', 'dgcnn', 'drivaer', 'fluid-dynamics', 'fluid-simulation', 'generative-ai', 'graph-neural-networks', 'large-scale-dataset', 'meshes', 'openfoam', 'parametric-design', 'surrogate-modelling', 'surrogate-models']",2024-03-04T18:49:51Z
cure-lab,MagicDrive,Organization,False,https://gaoruiyuan.com/magicdrive/,24545.0,945.0,Python,48.0,"['autonomous-vehicles', 'deep-learning', 'diffusion-models', 'image-generation', 'pytorch', 'video-generation']",2023-10-11T08:33:23Z
BAAI-DCAI,M3D,User,False,,38026.0,302.0,Python,23.0,[],2024-03-28T08:16:25Z
cristianleoo,models-from-scratch-python,User,False,,312412.0,113.0,Jupyter Notebook,29.0,[],2023-12-27T20:36:24Z
ge-xing,SegMamba,User,False,https://arxiv.org/abs/2401.13560,2956.0,439.0,Python,27.0,[],2024-01-23T08:08:08Z
mst272,LLM-Dojo,User,False,,1107.0,694.0,Python,63.0,[],2024-01-23T13:01:47Z
FasterDecoding,SnapKV,Organization,False,,871.0,237.0,Python,16.0,['long-context-modeling'],2024-03-23T05:36:18Z
moon-hotel,DeepLearningWithMe,User,False,,104017.0,213.0,Python,33.0,[],2020-06-16T01:12:02Z
SmartFlowAI,EmoLLM,Organization,False,https://openxlab.org.cn/apps/detail/chg0901/EmoLLMV3.0,109258.0,1384.0,Python,180.0,"['finetune', 'llm', 'the-big-model-of-mental-health']",2024-01-11T08:58:19Z
EthanH3514,AL_Yolo,User,False,,133995.0,310.0,Python,51.0,"['aimbot', 'apex', 'apex-legends', 'cheat', 'cv', 'game', 'yolo', 'yolov5']",2023-05-22T07:40:18Z
bitsandbytes-foundation,bitsandbytes,Organization,False,https://huggingface.co/docs/bitsandbytes/main/en/index,2861.0,6936.0,Python,686.0,"['llm', 'machine-learning', 'pytorch', 'qlora', 'quantization']",2021-06-04T00:10:34Z
RuoyuFeng,CCEdit,User,False,,515656.0,109.0,Python,6.0,[],2023-10-24T02:49:47Z
BrightPool,prompt-engineering-for-generative-ai-examples,Organization,False,,66755.0,247.0,Jupyter Notebook,126.0,[],2023-04-24T11:02:53Z
jianchang512,zh_recogn,User,False,,1015.0,106.0,Python,17.0,"['chinese-speech-recognition', 'speech-recognition']",2024-04-27T17:25:07Z
dauparas,LigandMPNN,User,False,,2574.0,357.0,Python,70.0,[],2023-11-28T16:31:29Z
Vincentqyw,image-matching-webui,User,False,https://huggingface.co/spaces/Realcat/image-matching-webui,255421.0,979.0,Python,86.0,"['aspanformer', 'deep-learning', 'feature-matching', 'gradio', 'image-matching', 'keypoint-matching', 'kornia', 'lightglue', 'loftr', 'pose-estimation', 'sift', 'superglue', 'superpoint', 'topicfm', 'visual-localization']",2023-06-17T16:41:52Z
sutro-planet,easyvideotrans,Organization,False,,55703.0,453.0,Python,34.0,[],2024-04-20T09:31:23Z
AILab-CVC,SEED-X,Organization,False,,54758.0,492.0,Jupyter Notebook,21.0,[],2024-03-30T07:03:38Z
ylacombe,musicgen-dreamboothing,User,False,,6044.0,132.0,Jupyter Notebook,17.0,[],2024-02-08T14:54:45Z
cvlab-columbia,pix2gestalt,Organization,False,https://gestalt.cs.columbia.edu/,15000.0,164.0,Python,12.0,"['3d', 'amodal-completion', 'amodal-instance-segmentation', 'amodal-perception', 'cvpr2024', 'recognition', 'stable-diffusion', 'zero-shot']",2023-12-22T14:08:34Z
facebookresearch,searchformer,Organization,False,,1490.0,365.0,Jupyter Notebook,18.0,[],2024-04-16T19:48:10Z
tyhuang0428,DreamPhysics,User,False,,8996.0,197.0,Python,6.0,[],2024-04-26T03:55:40Z
3DTopia,ThemeStation,Organization,False,https://3dthemestation.github.io/,63941.0,216.0,Python,10.0,"['3d-to-3d', 'exemplar-based-generation', 'text-to-3d']",2024-03-22T14:00:52Z
magic-research,PLLaVA,Organization,False,,28373.0,647.0,Python,47.0,[],2024-04-18T05:36:08Z
Ucas-HaoranWei,Vary-toy,User,False,,1838.0,622.0,Python,45.0,[],2024-01-10T05:19:48Z
Picsart-AI-Research,HD-Painter,Organization,False,https://arxiv.org/abs/2312.14091,50634.0,315.0,Python,20.0,[],2023-12-19T20:34:10Z
smartyfh,LLM-Uncertainty-Bench,User,False,,101090.0,224.0,Python,12.0,[],2024-01-21T16:45:10Z
blazerye,DrugAssist,User,False,https://academic.oup.com/bib/article/26/1/bbae693/7942355,7376.0,129.0,Python,13.0,"['ai-for-science', 'drug-discovery', 'instruction-datasets', 'instruction-tuning', 'large-language-models', 'molecule-generation', 'molecule-optimization']",2023-12-27T07:48:51Z
aws-ia,ecs-blueprints,Organization,False,,8079.0,269.0,Python,528.0,"['devops', 'ecs', 'ecs-fargate']",2022-05-04T16:26:26Z
cvlab-kaist,DiffMatch,User,False,,140935.0,174.0,Python,9.0,[],2023-05-25T12:45:09Z
Telosnex,fllama,Organization,False,,48215.0,155.0,C++,23.0,[],2024-01-18T21:39:52Z
DeepWok,mase,Organization,False,,242881.0,158.0,Python,82.0,[],2023-12-18T12:50:53Z
cotton6,COTTON-size-does-matter,User,False,,314692.0,144.0,Jupyter Notebook,25.0,[],2022-11-08T09:41:57Z
xlang-ai,OSWorld,Organization,False,https://os-world.github.io,48978.0,1786.0,Python,223.0,"['agent', 'artificial-intelligence', 'benchmark', 'cli', 'code-generation', 'gui', 'language-model', 'large-action-model', 'llm', 'multimodal', 'natural-language-processing', 'reinforcement-learning', 'rpa', 'vlm']",2023-10-16T01:49:13Z
instantX-research,InstantID,Organization,False,https://instantid.github.io/,158677.0,11568.0,Python,835.0,[],2023-12-11T13:16:04Z
huggingface,nanotron,Organization,False,,15502.0,1799.0,Python,182.0,[],2023-09-11T14:40:28Z
CUHK-AIM-Group,EndoGaussian,Organization,False,https://yifliu3.github.io/EndoGaussian/,93406.0,140.0,Python,8.0,"['3d-reconstruction', 'gaussian-splatting']",2024-01-23T05:54:09Z
LeapLabTHU,ExpeL,User,False,,12468.0,132.0,Python,15.0,[],2023-12-15T02:48:03Z
haidog-yaqub,DiffPitcher,User,False,,4419.0,109.0,Python,15.0,[],2023-06-24T02:32:00Z
YangLing0818,RPG-DiffusionMaster,User,False,https://proceedings.mlr.press/v235/yang24ai.html,67354.0,1794.0,Jupyter Notebook,102.0,"['image-editting', 'large-language-models', 'multimodal-large-language-models', 'text-to-image']",2024-01-22T01:07:23Z
bentrevett,pytorch-sentiment-analysis,User,False,,1724.0,4493.0,Jupyter Notebook,1181.0,"['bert', 'cnn', 'cnn-text-classification', 'fasttext', 'lstm', 'lstm-sentiment-analysis', 'natural-language-processing', 'nlp', 'pytorch', 'pytorch-nlp', 'pytorch-tutorial', 'pytorch-tutorials', 'recurrent-neural-networks', 'rnn', 'sentiment-analysis', 'sentiment-classification', 'torchtext', 'transformers', 'tutorial', 'word-embeddings']",2017-12-13T13:36:40Z
huggingface,ratchet,Organization,False,,14714.0,686.0,Rust,34.0,[],2024-01-11T15:00:17Z
NeuralCarver,Michelangelo,Organization,False,https://neuralcarver.github.io/michelangelo/,1241.0,418.0,Python,17.0,"['alignment-before-generation', 'image-to-3d', 'michelangelo', 'shape-generation', 'text-to-3d', 'transformers-models']",2023-06-29T11:46:30Z
TideDra,lmm-r1,User,False,,6146.0,716.0,Python,43.0,[],2025-02-13T08:36:08Z
OSGeo,grass-addons,Organization,False,https://grass.osgeo.org/grass-stable/manuals/addons/,223875.0,112.0,Python,171.0,"['addons', 'extensions', 'geospatial-analysis', 'grass-gis', 'grass-gis-addons', 'hacktoberfest', 'osgeo', 'raster', 'vector']",2019-05-17T16:24:48Z
DorsaRoh,Machine-Learning,User,False,,149202.0,1143.0,Jupyter Notebook,67.0,['machine-learning'],2024-08-01T16:26:15Z
benhaotang,OpenDeepResearcher-via-searxng,User,True,,1120.0,104.0,Jupyter Notebook,7.0,"['cot', 'deep-research', 'deepseek', 'jina', 'local', 'ollama', 'openai', 'playwright', 'searxng']",2025-02-04T12:16:30Z
yyyujintang,PredFormer,User,False,,4173.0,112.0,Python,5.0,[],2024-10-07T03:03:04Z
BigDataBiology,SemiBin,Organization,False,https://semibin.rtfd.io/,110629.0,131.0,Python,12.0,"['assembly-binning', 'bioinformatics', 'deep-learning', 'metagenomics', 'self-supervised-learning']",2020-11-18T06:23:23Z
OpenManus,OpenManus-RL,Organization,False,,87269.0,2471.0,Python,325.0,[],2025-03-06T19:01:51Z
ModalMinds,MM-EUREKA,Organization,False,,53802.0,558.0,Python,23.0,[],2025-03-07T14:19:26Z
RPG-fan,Cline-Recursive-Chain-of-Thought-System-CRCT-,User,False,,373.0,462.0,Python,52.0,[],2025-02-18T15:45:30Z
General-Analysis,GA,Organization,False,https://www.generalanalysis.com,123554.0,339.0,Jupyter Notebook,28.0,[],2025-01-18T22:56:05Z
wandahangFY,YOLOv11-RGBT,User,False,,6486.0,163.0,Python,29.0,[],2025-02-14T14:42:27Z
GitHamza0206,simba,User,False,https://simba.mintlify.app,20547.0,1181.0,Jupyter Notebook,89.0,"['knowledge-base', 'llm', 'parser', 'rag']",2024-12-20T16:42:29Z
facebookresearch,jepa-intuitive-physics,Organization,False,,99385.0,136.0,Jupyter Notebook,10.0,[],2025-02-14T15:27:18Z
reiniscimurs,DRL-robot-navigation-IR-SIM,User,False,https://reiniscimurs.github.io/DRL-robot-navigation-IR-SIM/,13391.0,145.0,Python,16.0,"['ddpg', 'ddpg-pytorch', 'drl', 'drl-pytorch', 'ir-sim', 'obstacle-avoidance', 'obstacle-avoidance-robot', 'ppo', 'ppo-pytorch', 'robot-navigation', 'sac', 'sac-pytorch', 'td3', 'td3-pytorch']",2025-02-11T14:57:15Z
if-ai,ComfyUI-IF_LLM,User,False,,17995.0,112.0,Python,9.0,[],2024-11-24T00:50:24Z
FareedKhan-dev,train-deepseek-r1,User,False,https://medium.com/@fareedkhandev/building-deepseek-r1-from-scratch-using-python-a967fbfdaac4,177.0,565.0,Jupyter Notebook,86.0,"['chatgpt', 'deepseek-r1', 'large-language-models', 'llm', 'openai']",2025-02-14T12:42:03Z
bcmi,Light-A-Video,Organization,False,https://bujiazi.github.io/light-a-video.github.io/,27488.0,407.0,Python,27.0,"['video-editing', 'video-generation']",2025-01-16T13:34:27Z
HomebrewML,HeavyBall,Organization,False,,4018.0,189.0,Python,12.0,[],2024-11-05T10:43:31Z
attentionmech,mav,User,False,https://pypi.org/project/openmav/,6277.0,429.0,Python,28.0,"['large-language-models', 'machine-learning', 'visualization']",2025-03-26T23:54:39Z
RyanLiu112,compute-optimal-tts,User,False,https://ryanliu112.github.io/compute-optimal-tts,6345.0,249.0,Python,21.0,"['large-language-model', 'o1', 'process-reward-model', 'r1', 'test-time-scaling']",2025-02-10T04:58:37Z
zhipeixu,FakeShield,User,False,https://zhipeixu.github.io/projects/FakeShield/,9475.0,209.0,Python,17.0,"['ifdl', 'mllm']",2024-10-03T04:02:30Z
pokemonchw,dieloli,User,False,,60744.0,311.0,Python,35.0,"['era', 'game', 'python3', 'sandbox-game']",2017-11-27T18:39:21Z
RDXiaoLu,MambaCoral-DiffDet,User,False,,7311.0,127.0,Python,6.0,"['coral', 'coral-detection', 'detection-model', 'distill', 'underwater-image-processing', 'underwater-images']",2024-10-14T15:53:58Z
NUS-HPC-AI-Lab,Enhance-A-Video,Organization,False,,2790.0,504.0,Python,28.0,[],2024-12-18T07:45:45Z
svpino,ml.school,User,False,,53244.0,283.0,Jupyter Notebook,903.0,[],2023-03-12T20:20:26Z
saccharomycetes,mllms_know,User,False,https://arxiv.org/pdf/2502.17422,31875.0,147.0,Python,6.0,[],2025-01-26T08:28:32Z
dCaples,AutoDidact,User,False,,7785.0,598.0,Jupyter Notebook,45.0,[],2025-03-08T05:11:43Z
Agent-RL,ReSearch,Organization,False,https://arxiv.org/abs/2503.19470,2756.0,682.0,Python,44.0,[],2025-03-03T13:12:19Z
oxpig,ImmuneBuilder,Organization,True,,32724.0,133.0,Jupyter Notebook,34.0,[],2022-11-05T07:53:32Z
zju3dv,street_crafter,Organization,False,https://zju3dv.github.io/street_crafter/,19633.0,165.0,Python,10.0,[],2024-12-05T08:39:59Z
SUC-DriverOld,so-vits-svc-Deployment-Documents,User,False,,357.0,705.0,Jupyter Notebook,108.0,"['pytorch', 'so-vits-svc', 'sovits', 'vits']",2023-02-18T12:32:26Z
yeyu2,Youtube_demos,User,False,https://www.youtube.com/@yeyulab,699.0,293.0,Jupyter Notebook,123.0,[],2023-10-12T03:41:01Z
probabilists,azula,Organization,False,https://azula.readthedocs.io,3805.0,100.0,Python,4.0,"['deep-learning', 'diffusion-models', 'generative-model', 'torch']",2024-06-21T09:14:37Z
jaychempan,LAE-DINO,User,False,http://arxiv.org/abs/2408.09110,17365.0,125.0,Jupyter Notebook,6.0,"['fudational-detector', 'lae-dino', 'locate-anything-on-earth', 'object-detection', 'open-vocabulary-detection', 'remote-sensing']",2024-08-10T20:04:33Z
microsoft,semanticworkbench,Organization,False,,30444.0,254.0,Python,64.0,[],2024-07-29T21:36:05Z
microsoft,OptiGuide,Organization,False,,10800.0,436.0,Python,70.0,[],2023-07-31T21:32:35Z
